case_id,mode,hide_count,label_over_redact,notes
C-001-two-col-horizon,full,28,true,"referee restored HORIZON BANK header; Account Holder label still blacked; Priya Ramachandran + DOB 14-08-1988 + IFSC HZBN0001429 left visible"
C-001-two-col-horizon,workhorse,27,true,"HORIZON BANK header blacked; Account Holder label kept; name/DOB/IFSC/email priya.r@example.com visible; referee_queue=0 total_ms=48093 vs full 66607"
C-001-two-col-horizon,degraded,9,false,"HUD red degraded · patterns only; regex hid account number/Aadhaar/some PANs; name DOB IFSC email address all visible; total_ms=0"
C-002-two-col-narmada,full,31,true,"Account Holder label blacked; Arjun Mehta + DOB + address visible; email/phone hidden (referee catch vs workhorse); bank header kept"
C-002-two-col-narmada,workhorse,25,true,"NARMADA CO-OP BANK header blacked; phone +91 79400 11220 and email left visible; hide 25 vs full 31"
C-003-two-col-kyc,full,23,true,"form title restored; PAN/email hidden; DOB/Passport/Voter/DL labels blacked; Permanent Address 41 MG Road Thrissur left visible; total_ms=35826"
C-003-two-col-kyc,workhorse,23,true,"CKYC title blacked; PAN BDFPN2201L and email kavya.n@example.com visible; same hide_count as full but swapped FPs for FNs; total_ms=24577"
C-017-two-col-payslip,full,12,true,"company name restored; PAN/email/ESI hidden; Employee Name Rohit Iyer still visible; DOB label blacked; total_ms=39960"
C-017-two-col-payslip,workhorse,18,true,"NORTHWIND header blacked; PAN AHXPI3390B + email + ESI visible; HRA/LTA/PF labels blacked; hide 18 vs full 12 so referee net-removed bars"
C-006-skew-statement,full,3,false,"spans=8; 3 axis-aligned bars miss rotated glyphs; almost all PII readable; referee_ms=5565 for no pairing fix; total_ms=10621"
C-006-skew-statement,workhorse,3,false,"identical hide_count; bars still axis-aligned on 36deg page; total_ms=4784"
C-008-small-print,full,39,false,"referee_queue=29; almost entire MSA body blacked; hide 39 vs workhorse 13 — referee made page unreadable; total_ms=70110"
C-008-small-print,workhorse,13,false,"unsure=3; many PII lines still show through; less nuclear than full; total_ms=34950"
C-015-dense-ledger,full,120,false,"spans=141 referee_queue=130 referee_ms=174627 total_ms=266908; hide 120 vs workhorse 131 — restored 11 bars after 175s; mid-page PAN/ACC/IFSC stripe still visible"
C-015-dense-ledger,workhorse,131,false,"spans=141 workhorse_ms=97087; 131/141 hidden (mode-collapse pattern) but several PAN/ACC/IFSC lines still visible in the middle band"
C-004-glare-receipt,full,3,false,"glare did not drop OCR; phone+card+TOTAL hidden; GSTIN and pharmacy name kept; total_ms=15214"
C-004-glare-receipt,degraded,1,false,"regex hid only the phone line; name Ananya Sharma and card ****8812 visible"
